product_id,product_name,recommendations
5240,Spaghetti  No 12,"['Organic Shredded Mozzarella', 'Tomato Paste', 'Spinach']"
43394,Organic Lactose Free Whole Milk,"['Cereal', ""Crunchy Oats 'n Honey Granola Bars"", 'Original Nooks & Crannies English Muffins']"
37766,XL Emerald White Seedless Grapes,"['Whole Milk Plain Yogurt', 'Florida Orange Juice With Calcium & Vitamin D', 'Dha Omega 3 Reduced Fat 2% Milk']"
40063,Gluten Free Chocolate Chip Cookies,"['New Orleans Iced Coffee', 'Cereal', 'Fat Free Skim Milk']"
14129,Organic Chicken Bone Broth,"['Organic Russet Potato', 'Organic White Onions', 'Sweet Baguette']"
3142,Organic Short Grain Brown Rice,"['Organic Chicken Bone Broth', 'Organic Chicken Broth', 'Sea Salt & Vinegar Potato Chips']"
38288,Pizza Sauce,"['Organic Shredded Mozzarella', 'Organic Extra Large Brown Eggs', 'Organic Plain Greek Whole Milk Yogurt']"
10673,Original Nooks & Crannies English Muffins,"['Dha Omega 3 Reduced Fat 2% Milk', 'Zero Calorie Cola', 'Dha Omega 3 Vitamin D Milk']"
1999,Organic Chicken Broth,"['Organic White Onions', 'Organic Russet Potato', 'Sweet Baguette']"
49610,100% Lactose Free Fat Free Milk,"['Original Nooks & Crannies English Muffins', 'Organic Roma Tomato', 'Organic Whole Grain Wheat English Muffins']"
